ASIN,Title,ProxScore,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B076QMYF2K,"LuxLumi Diamonds are Forever Rose String Lights Gold & Wire Caged, Batteries Included Soft White 20 LED for Bedroom, Living Room, Home D",2,"Tools & Home Improve",LuxLumi,59368,18.98,96,11.86,1822.08,14,4.6,2,758,,124,8,"Dec, 2018"
B07GDG67ZL,"GBtroo Rustic Mason Jar Sconces for Home Decor 6 Hours Timer Decorative Flower Wall Decor with LED Strip Lights, Silk Hydrangea, and Wrought Iron Hooks for House Decoration (Set of 2), Brown",2,"Home & Kitchen",GBtroo,4785,18.68,3501,10.24,65398.68,370,4.5,1,,,32,-1,"Mar, 2019"
B07L58ZW8R,"Abstract Art Seascape Picture Paintings: Glowing Sandy Forest Gold Foil Oil Painting Print on Canvas for Walls",2,"Home & Kitchen","Artistic Path",102476,59.99,61,36.27,3659.39,14,4.6,1,,,121,-2,"Jul, 2019"
B07Q651YKK,"Chsdec Modern Fashion Women Art Painting Inspirational Lettering Art Picture,High Heels Art Print Set of 3(8",2,"Home & Kitchen",Chsdec,90246,13.59,124,8.15,1685.16,26,3.7,1,,,106,-3,"Jul, 2019"
B01HQSKWHO,"Lushleaf Designs Motivational Quote Workout Gym Posters - 8x10 - Set of 4 - Classroom Office Wall Art - Inspirational Teen Boy Girl Fitness Success Sports Goal Hard Work Black Paper Poster Finish",2,"Home & Kitchen","Lushleaf Designs",22502,9.99,590,6.08,5894.1,141,4.2,1,6535,-5,289,,"Aug, 2018"
B01JJSQX9A,"Gift Boutique 9"" Ceramic Round Pineapple Showpiece Beautifully Sculpted with Realistic Detail, Off White Gloss with Gold Metallic Crown",2,"Home & Kitchen","Gift Boutique",20604,19.95,745,11.32,14862.75,232,4.7,1,6455,650,17,,"May, 2019"
B01MF6B8H1,"DaGou Mixed of 12PCS 3D Pink Butterfly Wall Stickers Decor Art Decorations",2,"Home & Kitchen",DaGou,4250,6.49,2034,2.09,13200.66,375,4.4,1,23966,263,134,,"Sep, 2018"
B06XBQVTHF,"pinkblume 36 Pcs Gold Butterfly Decals Hollow-Out 3D Butterfly Stickers Glitter Art Murals for Wall or Party Decorations",2,"Home & Kitchen",pinkblume,19158,11.69,803,7.53,9387.07,256,4,1,7941,52,80,,"Sep, 2018"
B075DL1SM6,"Motivational Posters for Classroom, Office Decorations, Inspirational Wall Art, Perfect for Students, Teachers, School, Kids Room & Home. Chalkboard Positive Quotes Poster Designs. Set of 4 11x17in.",2,"Home & Kitchen","Throwback Traits",6908,14.99,920,9.55,13790.8,71,4.5,1,4729,,0,,"Aug, 2018"
B075F2R7KS,"TIMEYARD Macrame Woven Wall Hanging - Boho Chic Bohemian Home Geometric Art Decor - Beautiful Apartment Dorm Room Decoration, 14"" W x 33"" L",2,"Home & Kitchen",TIMEYARD,3520,19.98,2411,13.7,48171.78,260,4.6,1,22384,,64,24,"Aug, 2018"
