ASIN,Title,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B005J9SX9W,"BalsaCircle 12-Inch x 10 Yards Burgundy Crinkled Taffeta Fabric by The Bolt - Sewing Craft Wedding Favors Supplies","Home & Kitchen",BalsaCircle,2116135,7.49,1,6.37,7.49,1,5,1,,,0,,"Mar, 2019"
B07PXN68V7,"UNIQOOO Silk Satin Rose Petals for Weddings","Home & Kitchen",UNIQOOO,133964,11.59,0,9.85,-,16,4.7,0,,,0,,-
B07GSNY6FQ,"SeTing Silicone Rubber Face Slimmer Massage Muscle Tightener Anti-Aging Anti-Wrinkle Mouth LifeShop","Home & Kitchen",SeTing,7227994,3.79,0,3.22,-,-1,-1,0,,,0,,-
B078SKBXST,"Vandue OnDisplay Luxury Transparent Acrylic Cup Holder and Mouthwash Dispenser Set, 3.5","Home & Kitchen",OnDisplay,1927379,19.91,0,16.92,-,2,3.5,0,29,,0,,"Mar, 2019"
B01L2I3J3I,"Anana White LED Dimmable Cloud Elephant Lamp with Dimmer, 20-Inch Tall","Home & Kitchen",Anana,1237460,229,1,193.66,229,2,5,1,7,,79,,"May, 2019"
B07H8HGFF8,"#1 Premium Home Teeth Whitening Kit with LED Light & Power Bank - Guaranteed Removes Coffee, Tea & Tobacco Stains - Best Whitening Gel Pens on Amazon","Home & Kitchen",Litero,2511617,68.4,0,53.43,-,4,1,0,,,0,,"Dec, 2018"
B00P8IUVGC,"Wallmonkeys WM5706 Pterois 01 Peel and Stick Wall Decals H x 18 in W, 18"" 18"" W-Small","Home & Kitchen",Wallmonkeys,2293320,21.96,2,10.54,43.92,-1,-1,1,4,,0,,"Aug, 2019"
B01DAPOERQ,"Chic Home Alleta 7 Piece Comforter Contemporary Patchwork Solid Color Block Pattern Design Complete Bedding Set, Queen, Brown","Home & Kitchen","Chic Home",2548109,89.97,0,76.47,-,3,2.5,2,29,349,-119,54,"Sep, 2018"
B07H2BH31Q,"S-DEAL 48 Inches Faux Fur Christmas Tree Skirt Decoration Double Layers Soft Carpet Xmas Holiday Party Ornaments Indoor Outdoor Decorative Gift Grayish White","Home & Kitchen",S-DEAL,539224,34.99,4,25.03,139.96,41,4.5,0,,,-78,,"Dec, 2018"
B07BPB3CDS,"pureaqu 1 Panel Embroidered Floral Window Curtain Semi Sheers For Sliding Glass Door Elegant Rod Pocket Top Blue Voile Drapes Panels For Bedroom Living Room Kids Room Decor W39xH63","Home & Kitchen",pureaqu,37307,13.59,282,11.55,3832.38,139,4.5,1,3922,,27,,"Sep, 2018"
B07GQ8ZQ5M,"Kensh? Stripe 100% Turkish Cotton Handwoven XL Picnic Throw, Beach Towel, Quick Dry Peshtemal, 38""x75"", Oversize Bath Towel, Spa Towel, Turkish Tablecloth, Affordable Gift","Home & Kitchen",Kensh?,2702001,19,1,13.67,19,-1,-1,1,,,0,,"Feb, 2019"
B01CXK1DBY,"Black-Footed Penguin - Icon (100% Cotton Kitchen Towel)","Home & Kitchen","Lantern Press",2489375,12.99,0,11.04,-,2,3.2,0,218,,0,,"Dec, 2018"
B07QDS2DST,"CELYCASY Key Hook Sign Dog Leash Hook Dog Lover Fur Parents Gift Key Organizer Wooden Sign entryway Sign Key Holder Leash Holder","Home & Kitchen",CELYCASY,2193928,44.99,1,38.24,44.99,-1,-1,1,,,-49,71,"Jun, 2019"
B07RG8DFKP,"Caravalli Manchester Terry Bath Wrap - Unisex Cotton Cover Up with Velcro Closure for Men & Women - Shower Spa Body Towel Wrap with Pockets & Elastic Closure - Perfect for Pools & Bath","Home & Kitchen","Caravalli Home Goods",1052379,29.99,5,25.49,149.95,3,5,0,,,,,"Jul, 2019"
B00V3WXSAS,"Oopsy daisy NB21005 Little Fairy Princess - Blonde Canvas Wall Art, 10x14, Pink","Home & Kitchen","Oopsy Daisy",4556863,57.1,0,37.99,-,1,5,1,51,,-124,68,"Jan, 2019"
B07SB45GL5,"Larvinhom Armrest Covers Anti-Slip Waterproof Furniture Protector Armchair Slipcovers for Recliner Sofa Set of 2?Coffee?","Home & Kitchen",Larvinhom,20302,9.99,442,5.3,4857.58,12,4.1,1,,,,3,"Aug, 2019"
B07Q7P56Z2,"YnM Minky Weighted Blanket | 15lbs, 60x 80'', Twin Size | 2.0 Fuzzy Sensory Heavy Blanket | Ultra-Soft Minky Material with Glass Beads, Super Lightning Print & red Dots","Home & Kitchen",YnM,76354,69.9,146,49.21,10205.4,189,4.5,1,,,-55,-9,"Jun, 2019"
B06WLNP1BP,"Vinyl Wall Decal Shark Marine Fish Predator Sea Style Stickers Large Decor (927ig) Black","Home & Kitchen",DesignToRefine,6187075,21.99,0,18.69,-,-1,-1,1,,,0,,-
B07D1YCCYG,"Eyugle Robot Vacuum Cleaner Sweeping Machine Suction Auto Focus Random 3 Cleaning Mode 5cm Anti-Falling Anti-Collision HEPA Filter","Home & Kitchen",EYUGLE,48649,94.99,25,73.37,2374.75,9,3.2,1,299,,0,,"Jul, 2018"
B07NQDZQ74,"MamaTina Cool Vintage American Football Team Design Metal Tin Signs for Home Wall Decor","Home & Kitchen",MamaTina,65784,7.89,103,6.71,812.67,2,4.5,0,,,238,,"Aug, 2019"
B00S406ZKC,"TheDisplayDeal Metal Hanging Rod Set for Curtain/ Tapestry, OD 5/8 inch, Adjustable Length","Home & Kitchen",ThedisplayDeal,797992,10.99,4,9.34,43.96,7,2.3,0,,,,,"Aug, 2019"
B01CQJXPO0,"Fancy-fix Privacy Window Film Non-adhesive Frosted Film Anti UV stained Glass Cling for Home Decoration 35.4in. By 78.7in.(90 X 200cm)","Home & Kitchen",fancy-fix,405691,24.98,15,12.59,374.7,371,4,0,1132,-22,-89,18,"Sep, 2017"
B075C463SZ,"60 x 102 inch Rectangular Polyester Tablecloth (Red)","Home & Kitchen","Zhen Linen",139306,9.99,86,8.49,859.14,16,4.9,1,898,,-37,,"May, 2019"
B01G6V8AUI,"18 Note Windup Clockwork Mechanism Music Box DIY Musical Movement","Home & Kitchen",MulanStar,1515212,6.12,0,5.12,-,8,3.3,0,25,,0,,"Sep, 2018"
B075C7BHPX,"60 x 102 inch Rectangular Polyester Tablecloth (Pink)","Home & Kitchen","Zhen Linen",139306,9.99,87,8.49,869.13,16,4.9,1,1104,,-34,,"May, 2019"
B07RVM45QD,"Ivoguey Goose Down Feather Pillows, Feather Pillows for Sleeping Premium 100% Cotton Fabric Cover","Home & Kitchen",Ivoguey,151477,46.95,35,38.92,1643.25,3,5,0,,,,,-
B07R5YZVFR,"Hanbaili Vase Creative Flower Pot with Ceramic Pineapple Shape Porcelain Office","Home & Kitchen",Hanbaili,4201893,6.89,0,5.86,-,-1,-1,0,,,,,-
B07KXP3RPH,"Heather Ann Creations Tinsley Modern Metal Art Sculpture, 19.5"" Red","Home & Kitchen","Heather Ann Creations",5531602,74.84,0,50.41,-,-1,-1,0,,,0,,-
B07RKPB4G3,"Wall Clock Home Non Ticking Battery Operated Analog Retro Steam Train Decorative Living Room Silent Bedroom Kitchen Quartz Clocks Silent","Home & Kitchen","Wall Clock",6432892,112.08,0,95.27,-,-1,-1,2,,,,,-
B003974XPE,"Badger 2Oz. Jar with 350 Adaptor-50-0058","Home & Kitchen",Badger,14207517,8.99,0,2,-,-1,-1,2,0,,0,,"Apr, 2019"
B07VG1PY66,"Agirlgle Bookends Metal Book Ends Heavy Duty Modern Decorative Cactus Bookend Bookshelf Decor for Bedroom Library Office School Book Display Desktop Organizer Decorative for Adults & Kids Gift","Home & Kitchen",Agirlgle,302405,14.96,0,10.31,-,-1,-1,1,,,,-7,-
B07FGVDRZX,"Sumik Warning Property Patrolled By A Crazy Bitch With Dogs And Automatic Weapons, Metal Tin Sign, Vintage Art Poster Plaque Den Home Wall Decor","Home & Kitchen",Sumik,148395,11.99,82,7.78,983.18,8,4.1,1,,,0,-13,"Aug, 2019"
B07F5X9XQR,"ArtToFrames 15x20 inch 100% Real Reclaimed Light Brown Barnwood 1.5 Inch Wood Picture Frame, 2WOMRFB-150-TOB-15x20","Home & Kitchen",ArtToFrames,130006,32.81,101,27.89,3313.81,25,4.1,1,,,-7,,"Jan, 2019"
B07NVBVPH1,"Luxr Blinds Custom-Made 2"" Custom-Made 2"" Faux Wood Cordless Horizontal Blinds with Easy Inside Mount -70.5"" x 36""Mahogany Grain","Home & Kitchen","Luxr Blinds",97724,107.43,169,91.32,18155.67,40,4.7,1,,,,,"Aug, 2019"
B06XRD5XTD,"GDFStudio 299659 Poona Hand Knitted Artisan Round Pouf (Yellow),","Home & Kitchen","GDF Studio",142623,118.64,38,81.56,4508.32,19,4.5,2,371,,448,-16,"Oct, 2018"
B07HMKN12K,"Kemberly Home Collection 1000 TC Egyptian Cotton Sheets","Home & Kitchen","Kemberly Home Collection",177155,89.99,82,70.26,7379.18,81,4.1,0,,,299,,"Jul, 2019"
B07CG58DQJ,"Package of 12 Unfinished Wood Cutouts for Painting and Crafting (Wood Burn Edge Wareness Ribbon)","Home & Kitchen","MJ's Crafts & More",620189,6,28,5.1,168,4,2.8,1,480,,31,-18,"Aug, 2018"
B0792J777D,"The Vinyl Design Company Confetti Vinyl Polka Dot Wall Decals - 35 count of 3"" dots (Light Purple)","Home & Kitchen","The Vinyl Design Company",644897,12.99,10,8.63,129.9,5,3.9,1,,,-51,,"Oct, 2018"
B0793F4WSW,"Gorgeous New Home Decor 55"" Wide X 63"" 84"" 95"" 108"" Lengths Grommet Top Transparent 1PC Panel Window Curtain Drape Treatment in Plain Colors (Mira Brick Rust, 63"")","Home & Kitchen","Gorgeous Home LINEN",126975,4.99,0,3.99,-,52,4.2,1,6,,0,,"Mar, 2019"
B07S1GWW2L,"Redearth Checks Throw Pillow Cushion Covers-Woven Decorative Farmhouse Square Cases Set for Couch, Sofa, Bed, Farmhouse, Chair, Dining, Patio, car Cotton (18x18; Sage Green) Pack of 2","Home & Kitchen",Redearth,118512,21.99,0,15.56,-,6,4.3,1,,,,,"Aug, 2019"
B015XE1PBK,"MARIPOSA Orange Pumpkin Beaded Napkinbox, Silver","Home & Kitchen",MARIPOSA,582701,48,0,36.1,-,0,-1,2,115,,0,,"Aug, 2018"
B00T71CI6M,"YAMAZAKI home Tosca 3-Tier Cake Stand","Home & Kitchen","YAMAZAKI home",134763,24.99,58,16.48,1449.42,25,4,2,828,14,-20,,"Dec, 2017"
B07JCPBTH1,"Deer 3D Optical Illusion Table Desk Lamp Animal Modern Night Light LED Color Changing Light Hunting Gift","Home & Kitchen","The Geeky Days",1877264,20.49,0,17.42,-,-1,-1,1,,,-136,,"Dec, 2018"
B07R4B7P8X,"White Kaiman Changing Towel Microfiber Hooded Beach Towel Poncho Robe Boys Girls Kids Swim Coverup (Blue, 8/10)","Home & Kitchen","White Kaiman",283241,19.98,37,13.7,739.26,8,4.4,0,,,-42,,"Jun, 2019"
B07HB5PXMX,"Ultimate Textile -10 Pack- 30-36-Inch Round Cocktail Spandex Fitted Stretch Elastic Tablecloth - Fits 42"" High Tables, Black","Home & Kitchen","Ultimate Textile",327902,210.57,4,178.98,842.28,3,5,1,,,-100,,"Jun, 2019"
B07FBL3YMN,"Amish Handmade Boat Basket Shelf","Home & Kitchen","AMISH BASKETS AND BEYOND",5067732,56.99,0,48.44,-,1,5,0,,,-136,,"Jun, 2019"
B07D213T86,"Global Furniture USA D987DT Geometric Style Base Dining Table, Black","Home & Kitchen","Global Furniture USA",147518,567.17,19,330.37,10776.23,180,3.9,6,,,0,2,"Aug, 2019"
B06XW7ZDJ7,"Laura Ashley Halstead Jacquard Chenille 24"" x 35"" Accent Rug, Gray","Home & Kitchen","Laura Ashley",251460,14.25,0,1.57,-,7,5,5,99,,70,-38,"Oct, 2018"
B01D30R1RS,"Furinno 2-11180GYW End Table, 2-Pack, French Oak Grey/Black","Home & Kitchen",Furinno,8011,36.86,1336,14.33,46786.72,707,3.9,6,23759,1038,532,-7,"Mar, 2019"
B010MP2RSA,"Bamboo Clear Charcoal Air Purifying Bag A Chemical Free, Fragrance Free, Non-Toxic way to Remove Odors and Allergens from your home or car. These Air Purifier bags will Absorb Excess Moisture from the air helping to prevent Mold, Mildew and Bacteria from Forming. Each bag lasts 2 years. - Natural, 200g","Home & Kitchen",Bamboo,1018999,11.99,0,7,-,24,4.4,0,,,-136,,"Jan, 2019"
B07MJD2962,"SCOUT HANG-10 BIN Collapsible Storage Bin Fits Hanging Files, Office Supplies or Bathroom Storage, 12.25"" W x 10.25"" H x 9.5"" D (Multiple Patterns Available)","Home & Kitchen",SCOUT,95425,28,0,19.09,-,23,4.5,1,,,-1,,"May, 2019"
B01B4CDTEQ,"LA Fluffy Fuzzy Furry Shimmer Romance Solid Plush Shag Shaggy with Canvas Backing 8-Feet-by-10-Feet Polyester Made Area Rug Carpet Rug Beige Color","Home & Kitchen",LA,1409394,230,1,197,230,1,5,1,0,,0,-9,"Aug, 2019"
B071S35SSS,"Creativegifts Vastu Fengshui Laughing Buddha on A Elephant for Luck and Stability + Rudraksha Bracelet","Home & Kitchen",Creativegifts,3570503,19.98,0,11.89,-,-1,-1,1,9,,0,,"Jul, 2018"
B06ZYLYPBR,"Lenox Holiday Soap Pump and Tip Towel Set, 3 Piece","Home & Kitchen",Lenox,1079131,39.99,0,33.99,-,7,4,0,265,,-139,,"Nov, 2018"
B07CVMN7J8,"JLHua 4 pcs Frida Kahlo Self-Portrait Cotton Linen Pillow Case Cover,18""?Pattern 10","Home & Kitchen",JLHua,70474,16.98,128,14.43,2173.44,50,4.8,1,,,,-5,"Jul, 2019"
B07CVMTL2M,"JLHua Frida Kahlo Self-portrait Cotton Linen Pillow Case Cover,18""?Color 3","Home & Kitchen",JLHua,70474,4.99,128,4.24,638.72,50,4.8,1,,,,,"Jul, 2019"
B07KGVGZ3P,"Mind Reader Makeup Organizer, Cosmetic Storage Tray, Jewelry Organizer for Vanity, Bathroom, Fits Toner, Watches, Rings, Makeup, Brushes, Lipstick and More","Home & Kitchen","Mind Reader",1439530,16.99,7,14.44,118.93,-1,-1,0,41,,0,,"Jan, 2019"
B0794LZN67,"SMAR no smoking Warning Sticker (8 Pack) 3 inch Dia no smoking Sticker Vinyl Decal Sticker","Home & Kitchen",SMARSTICKER,2314759,5.99,0,2.68,-,-1,-1,1,7,,-117,43,"Jun, 2019"
B07G18DRMS,"Ploymanee Jewelry Graceful Finger Ring Opal Gemstone Eternity Band Women's Wedding Ring Dreamed (10)","Home & Kitchen","Ploymanee Jewelry",3267023,7,0,5.95,-,1,3,0,,,0,,"Jan, 2019"
B07TZ8L4VL,"JHMIH Commercial Food Warmer Lamp Retractable Food Heating Lamp Adjustable Hanging Chandelier Single Head Lighting 250W Bulb, Silver","Home & Kitchen",JHMIH,656192,132.88,1,112.95,132.88,-1,-1,1,,,,,"Jul, 2019"
B07QGFMM2G,"EZON-CH 5 Panels Canvas Wall Art Prints - Chicago City Night View - Extra Large Artwork Ready to Hang for Living Room Bedroom Office Home Decoration - 16x40 inchx5","Home & Kitchen",EZON-CH,76622,175.99,1,149.59,175.99,87,4.4,1,,,,,"Aug, 2019"
B012VEGS58,"Anji Mountain AMB0614-0912 Alder Area Rug, 9 x 12-Feet, Blue","Home & Kitchen","Anji Mountain",2860267,474.79,0,279.99,-,3,5,10,5,144,0,,"Sep, 2018"
B01N4DU6EZ,"Safavieh Montauk Collection MTK330N Handmade Flatweave Ivory and Anthracite Cotton Area Rug (3' x 5')","Home & Kitchen",Safavieh,47189,39.99,2,33.99,79.98,47,4.2,1,595,,-98,25,"Jan, 2019"
B07F9NPFVL,"100% Waterproof Mattress Protector, Zippered Encasement Style - 6 Inch Deep Pocket, Hypoallergenic, Breathable, Noiseless, No Crinkling, Allergy &Vinyl Free","Home & Kitchen","MD Home Decore",1659708,49.25,1,41.86,49.25,0,-1,0,15,,134,,"Sep, 2018"
B072Q59V8T,"Amrka Acrylic Ring Display Stand Holder Jewelry Storage Rack Store Showcase Organizer","Home & Kitchen",Amrka,3481034,6.79,0,5.77,-,0,-1,0,,,0,,"Dec, 2017"
B06XCJ9MD4,"ave split 100cmX200cm Decorative Door String Curtain Beads Wall Panel Fringe Window Room Divider Blind for Wedding Coffee House Restaurant Parts Door Divider Beads Tassel Screen Decoration (pink25)","Home & Kitchen","ave split",80999,11.5,163,6.64,1874.5,82,3.8,1,1409,,41,,"Mar, 2019"
B004T2QRWA,"Cocoon Hyperlight AirCore Pillow","Home & Kitchen",Cocoon,1023322,49.95,1,42.46,49.95,33,3.9,1,3,-98,0,,"Apr, 2018"
B07SKDX52G,"Membrane Solutions 5 Micron 10""x4.5"" Whole House Big Blue Sediment Water Filter Polypropylene Replacement Cartridge,Compatible with Culligan HD-950A,Pentek,Dupont WFHD13001B,Aqua-Pure AP801-2 Pack","Home & Kitchen","Membrane Solutions",457573,21.99,4,13.43,87.96,-1,-1,1,,,,-4,"Aug, 2019"
B07RW5LC6R,"CMrtew Elastic Ankle Support Adjustable Breathable Ankle Brace Support for Sports Protection Sprains Injury Basketball Heel Wrap Sleeve (XL)","Home & Kitchen","CMrtew Home decoration",3881143,9.49,0,8.07,-,-1,-1,1,,,,,"Jun, 2019"
B079S4SCXB,"ArtToFrames Diploma Frame. 1-10x12 Opening. (Cut .25"" Smaller) Satin Black Frame","Home & Kitchen",ArtToFrames,234980,19.62,56,1.35,1098.72,19,3.8,1,,,,,-
B079RT7888,"ArtToFrames Collage Photo Frame Double Mat with 1-30x40 Openings with Satin Black Frame and Canary mat.","Home & Kitchen",ArtToFrames,234980,112.36,57,-42.8,6404.52,19,3.8,1,,,,,-
B07JCWNW7V,"Yi Erman Fleece Blanket, Soft Microfiber Flannel Blanket, Fleece Throw Blanket for All Season,Twin Size(Dark Blue)","Home & Kitchen","Yi Erman",194303,16.98,87,6.66,1477.26,33,4.6,1,,,552,-11,"Jul, 2019"
B07FRDHZKK,"Walldecor1 Stainless Steel Brushed Contact Paper for Dishwasher Appliances Refrigerator Oven Fridge, Metal Covering Self Adhesive Shelf Drawer Liner, Dishwasher Cover","Home & Kitchen",Walldecor1,176988,9.99,74,5.3,739.26,7,2.9,1,,,-10,,"Jun, 2019"
B07GCKJ7VS,"DALAMODA Bathroom Set","Home & Kitchen",DALAMODA,3480831,49.95,0,42.46,-,1,5,0,,,0,,"Oct, 2018"
B07V2HXBT7,"iiDesign Decorative DIY Pegboard Kit, EZ Mount Wall Shelf for Living Room/Bathroom/Kitchen/Office, Wall Decor Storage Organizer (Macaron Pink)","Home & Kitchen",iiDesign,354846,16.98,23,9.67,390.54,2,5,1,,,,-11,"Aug, 2019"
